2017-12-01 19:28:19.878 [main] - [FATAL] com.witontek.ehospital2.test.DemoTest:0
2017-12-01 19:28:19.886 [main] - [ERROR] com.witontek.ehospital2.test.DemoTest:1
2017-12-01 19:28:19.886 [main] - [INFO] com.witontek.ehospital2.test.DemoTest:2
2017-12-01 19:28:19.887 [main] - [WARN] com.witontek.ehospital2.test.DemoTest:3
2017-12-01 19:28:19.888 [main] - [DEBUG] com.witontek.ehospital2.test.DemoTest:4
2017-12-01 19:28:19.889 [main] - [TRACE] com.witontek.ehospital2.test.DemoTest:5
2017-12-01 19:29:50.600 [main] - [INFO] com.witontek.ehospital2.base.DriverUtils:打开谷歌浏览器
2017-12-01 19:30:04.467 [main] - [INFO] com.witontek.ehospital2.base.BrowserUtils:打开网址:http://yltest.witontek.com/ehospital3web/web/admin.html#!/
2017-12-01 19:30:05.203 [main] - [INFO] com.witontek.ehospital2.base.WebElementsUtils:在用户名输入框输入：sqsrmyyadmin
2017-12-01 19:30:05.733 [main] - [INFO] com.witontek.ehospital2.base.WebElementsUtils:在密码输入框输入：admin
2017-12-01 19:30:06.293 [main] - [INFO] com.witontek.ehospital2.base.WebElementsUtils:在验证码输入框输入：1111
2017-12-01 19:30:06.849 [main] - [INFO] com.witontek.ehospital2.base.WebElementsUtils:点击登录按钮
2017-12-01 19:30:08.607 [main] - [INFO] com.witontek.ehospital2.base.BrowserUtils:等待1秒
2017-12-01 19:30:12.384 [main] - [INFO] com.witontek.ehospital2.base.BrowserUtils:等待3秒
2017-12-01 19:30:17.514 [main] - [INFO] com.witontek.ehospital2.base.BrowserUtils:等待5秒
2017-12-01 19:30:19.180 [main] - [INFO] com.witontek.ehospital2.base.BrowserUtils:退出浏览器
